benchmark,nTasks,init_sum,run_sum,final_sum,duration_sum,scenario
hpccfft,16,1171.0,746.0,1.0,2075.226537379,none
hpccdgemm,16,305.0,6155.0,0.0,6593.41352568,none
hpccstream,16,792.0,1281.0,0.0,2219.150229788,none
nasep,16,597.0,3887.0000000000005,0.0,4625.074194691,none
hpccrandomringbw,16,1928.0,3316.0,0.0,5378.665547533,none
hpccfft,16,1093.0,903.0,0.0,2133.754798028,cpumem
hpccdgemm,16,441.0,4705.0,1.0,5298.922980054001,cpumem
hpccstream,16,603.0,1746.0,1.0,2490.156127988,cpumem
nasep,16,618.0,3822.0000000000005,0.0,4584.917677386,cpumem
hpccrandomringbw,16,1874.0,4048.0,0.0,6071.380203525,cpumem
hpccfft,16,1305.0,860.0,0.0,2318.3504771590005,cpumem-scale
hpccdgemm,16,252.0,4409.0,0.0,4813.1593662840005,cpumem-scale
hpccstream,16,369.0,868.0,0.0,1394.385711428,cpumem-scale
nasep,16,509.00000000000006,3874.0000000000005,0.0,4533.047319629,cpumem-scale
hpccrandomringbw,16,1991.0,2873.0,0.0,4998.884130616,cpumem-scale
hpccfft,16,1267.0,883.0,0.0,2287.109437892,cpumem-granularity
hpccdgemm,16,305.0,3933.0000000000005,0.0,4409.244455516,cpumem-granularity
hpccstream,16,379.0,873.0,0.0,1423.691797918,cpumem-granularity
nasep,16,438.0,3843.0000000000005,0.0,4453.8875393200005,cpumem-granularity
hpccrandomringbw,16,1894.0,3115.0,0.0,5161.399887949,cpumem-granularity
