benchmark,nTasks,nNodes,nWorkers,model_time_mean,model_time_std,scenario
hpccfft,16,1,1,13.99295,0.3238406282417326,none
hpccdgemm,16,1,1,25.216549999999998,1.2776009324119957,none
hpccstream,16,1,1,4.4694975,0.4250213439566886,none
nasep,16,1,1,959.135,14.159310541124512,none
hpccrandomringbw,16,1,1,1.0633329999999999,0.05095135304385942,none
hpccfft,16,1,1,10.255469999999999,0.5796638173113795,cpumem
hpccdgemm,16,1,1,31.255650000000003,0.30083452677510275,cpumem
hpccstream,16,1,1,2.7599275000000003,0.017745981763486508,cpumem
nasep,16,1,1,942.5825,13.036326888736737,cpumem
hpccrandomringbw,16,1,1,0.9838985,0.3001012634807625,cpumem
hpccfft,16,1,1,10.917475,1.6042923586662754,cpumem-scale
hpccdgemm,16,4,4,34.438,0.4670037633681346,cpumem-scale
hpccstream,16,4,4,6.9425875,1.1714173656808875,cpumem-scale
nasep,16,4,4,954.7450000000001,8.03408208820395,cpumem-scale
hpccrandomringbw,16,1,1,1.2022575,0.04418224891005437,cpumem-scale
hpccfft,16,1,1,10.833775,1.6395601546832619,cpumem-granularity
hpccdgemm,16,4,16,37.738175,0.25905800870654416,cpumem-granularity
hpccstream,16,4,16,7.200699999999999,1.0967758553369054,cpumem-granularity
nasep,16,4,16,943.5425,10.089995973735558,cpumem-granularity
hpccrandomringbw,16,1,1,1.1614025,0.12015521532064266,cpumem-granularity
