scenario,init_sum,run_sum,final_sum,duration_sum
none,4235.0,16641.0,2.0,21631.413045805002
cpumem,3227.0,13722.0,0.0,17671.670513341
cpumem-scale,2431.0,11808.0,2.0,15015.615738374001
cpumem-granularity,2438.0,11214.0,4.0,14457.250988268
