benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccdgemm,9,16,1,16,2022-03-17T09:18:35Z,2022-03-17T09:42:42Z,2022-03-17T09:50:02Z,2022-03-17T09:50:02Z,32m21.59957494s,10.9027
hpccdgemm,1,16,1,16,2022-03-17T09:18:35Z,2022-03-17T09:42:36Z,2022-03-17T09:50:19Z,2022-03-17T09:50:19Z,32m34.96712591s,10.2698
hpccfft,1,16,1,1,2022-03-17T09:18:36Z,2022-03-17T09:42:26Z,2022-03-17T09:43:44Z,2022-03-17T09:43:45Z,25m42.271785699s,10.7302
hpccptrans,7,16,3,3,2022-03-17T09:18:37Z,2022-03-17T09:42:27Z,2022-03-17T09:49:16Z,2022-03-17T09:49:17Z,31m19.117840029s,0.120438
hpccptrans,2,16,1,1,2022-03-17T09:18:37Z,2022-03-17T09:48:57Z,2022-03-17T09:50:32Z,2022-03-17T09:50:33Z,32m39.078991491s,7.78638
hpccrandomaccess,7,16,4,4,2022-03-17T09:19:36Z,2022-03-17T09:49:03Z,2022-03-17T09:51:44Z,2022-03-17T09:51:44Z,32m49.32017935s,0.021995
hpccdgemm,5,16,3,16,2022-03-17T09:19:36Z,2022-03-17T09:42:39Z,2022-03-17T09:53:01Z,2022-03-17T09:53:01Z,34m9.745261477s,7.74596
hpccptrans,3,16,1,1,2022-03-17T09:20:37Z,2022-03-17T09:51:17Z,2022-03-17T09:52:52Z,2022-03-17T09:52:53Z,32m47.806304481s,9.3161
hpccrandomringbw,0,16,1,1,2022-03-17T09:20:37Z,2022-03-17T09:51:14Z,2022-03-17T09:52:20Z,2022-03-17T09:52:21Z,32m15.602342406s,1.61581
hpccrandomringlat,0,16,1,1,2022-03-17T09:20:37Z,2022-03-17T09:51:14Z,2022-03-17T09:52:20Z,2022-03-17T09:52:21Z,32m15.602342406s,0.5179
hpccstream,8,16,1,16,2022-03-17T09:20:37Z,2022-03-17T09:42:40Z,2022-03-17T09:44:41Z,2022-03-17T09:44:41Z,24m47.675984079s,7.20447
hpccfft,0,16,1,1,2022-03-17T09:20:37Z,2022-03-17T09:49:03Z,2022-03-17T09:50:20Z,2022-03-17T09:50:20Z,30m15.203304441s,11.8383
hpccptrans,4,16,2,2,2022-03-17T09:20:37Z,2022-03-17T09:51:07Z,2022-03-17T09:58:02Z,2022-03-17T09:58:02Z,38m7.098384767s,0.147799
hpccstream,1,16,2,16,2022-03-17T09:20:37Z,2022-03-17T09:51:11Z,2022-03-17T09:53:31Z,2022-03-17T09:53:32Z,33m39.375214554s,6.05644
hpccptrans,0,16,2,2,2022-03-17T09:20:38Z,2022-03-17T09:51:48Z,2022-03-17T09:58:28Z,2022-03-17T09:58:28Z,38m23.760155495s,0.160157
hpccrandomaccess,5,16,3,3,2022-03-17T09:20:37Z,2022-03-17T09:49:57Z,2022-03-17T09:55:00Z,2022-03-17T09:55:04Z,34m56.145051986s,0.0245243
hpccstream,0,16,2,16,2022-03-17T09:20:38Z,2022-03-17T09:49:08Z,2022-03-17T09:51:06Z,2022-03-17T09:51:06Z,31m7.204800216s,6.91454
hpccrandomaccess,2,16,2,2,2022-03-17T09:21:38Z,2022-03-17T09:57:44Z,2022-03-17T10:03:09Z,2022-03-17T10:03:09Z,42m6.12186886s,0.0292013
hpccstream,7,16,3,16,2022-03-17T09:21:39Z,2022-03-17T09:58:13Z,2022-03-17T10:00:25Z,2022-03-17T10:00:26Z,39m27.633340381s,6.65996
hpccrandomaccess,4,16,1,1,2022-03-17T09:21:39Z,2022-03-17T09:57:39Z,2022-03-17T09:59:29Z,2022-03-17T09:59:29Z,38m25.445694236s,0.104113
hpccrandomringbw,2,16,2,2,2022-03-17T09:21:39Z,2022-03-17T09:57:59Z,2022-03-17T09:59:52Z,2022-03-17T09:59:53Z,38m55.468841017s,0.0273441
hpccrandomringlat,2,16,2,2,2022-03-17T09:21:39Z,2022-03-17T09:57:59Z,2022-03-17T09:59:52Z,2022-03-17T09:59:53Z,38m55.468841017s,115.911
hpccdgemm,4,16,3,16,2022-03-17T09:21:40Z,2022-03-17T09:58:11Z,2022-03-17T10:08:54Z,2022-03-17T10:08:55Z,47m55.073004334s,7.57343
hpccfft,4,16,2,2,2022-03-17T09:21:40Z,2022-03-17T09:58:47Z,2022-03-17T10:02:46Z,2022-03-17T10:02:46Z,41m44.081440098s,0.930875
hpccstream,4,16,1,16,2022-03-17T09:21:41Z,2022-03-17T09:58:14Z,2022-03-17T10:00:06Z,2022-03-17T10:00:06Z,39m9.244812323s,5.62321
hpccstream,5,16,1,16,2022-03-17T09:21:41Z,2022-03-17T09:59:14Z,2022-03-17T10:01:37Z,2022-03-17T10:01:37Z,40m44.576096351s,6.86506
hpccrandomaccess,8,16,3,3,2022-03-17T09:21:42Z,2022-03-17T10:04:48Z,2022-03-17T10:13:55Z,2022-03-17T10:13:55Z,52m53.124813862s,0.0223693
hpccrandomringbw,5,16,3,3,2022-03-17T09:21:43Z,2022-03-17T10:04:52Z,2022-03-17T10:09:49Z,2022-03-17T10:09:50Z,48m43.662052552s,0.0123978
hpccrandomringlat,5,16,3,3,2022-03-17T09:21:43Z,2022-03-17T10:04:52Z,2022-03-17T10:09:49Z,2022-03-17T10:09:50Z,48m43.662052552s,1615.97
hpccrandomringbw,8,16,1,1,2022-03-17T09:21:42Z,2022-03-17T10:04:50Z,2022-03-17T10:05:51Z,2022-03-17T10:05:51Z,44m42.694127864s,1.70822
hpccrandomringlat,8,16,1,1,2022-03-17T09:21:42Z,2022-03-17T10:04:50Z,2022-03-17T10:05:51Z,2022-03-17T10:05:51Z,44m42.694127864s,0.508986
hpccfft,8,16,3,3,2022-03-17T09:21:42Z,2022-03-17T10:04:50Z,2022-03-17T10:12:32Z,2022-03-17T10:12:33Z,51m23.007322993s,0.34965
hpccptrans,9,16,4,4,2022-03-17T09:23:43Z,2022-03-17T10:04:51Z,2022-03-17T10:13:42Z,2022-03-17T10:13:42Z,50m41.081714993s,0.0901042
hpccfft,9,16,3,3,2022-03-17T09:24:44Z,2022-03-17T10:04:46Z,2022-03-17T10:12:37Z,2022-03-17T10:12:37Z,48m30.567620606s,0.365899
hpccrandomaccess,0,16,4,4,2022-03-17T09:26:44Z,2022-03-17T10:04:49Z,2022-03-17T10:12:57Z,2022-03-17T10:12:57Z,46m50.333722705s,0.0214564
hpccptrans,8,16,2,2,2022-03-17T09:27:44Z,2022-03-17T10:06:27Z,2022-03-17T10:08:35Z,2022-03-17T10:08:36Z,41m30.589731007s,2.93092
