benchmark,nTasks,nNodes,nWorkers,init_mean,init_std,run_mean,run_std,final_mean,final_std,duration_mean,duration_std,scenario
hpccdgemm,16,4,16,0 days 00:02:07.400000,0 days 00:03:53.305893624,1019.8,19.2499350648255,0.1,0.30000000000000004,1187.7470053526001,216.38064158403898,cpumem-granularity-notg
hpccdgemm,16,4,4,0 days 00:02:23.200000,0 days 00:04:37.150789282,1139.1,65.0483666205386,0.0,0.0,1320.6929683249,339.6914704700503,cpumem-scale-notg
hpccdgemm,16,4,4,0 days 00:02:20.500000,0 days 00:04:32.263567155,1130.5,69.29249598621773,0.1,0.30000000000000004,1308.4038858657,340.9374068809606,cpumem-scale
hpccdgemm,16,4,16,0 days 00:02:03.500000,0 days 00:03:52.500860213,998.5000000000002,16.88342382338369,0.0,0.0,1163.1109424266,216.8951239873296,cpumem-granularity
hpccdgemm,16,1,1,0 days 00:03:29.800000,0 days 00:06:52.179038768,1521.4,107.62546167148366,0.0,0.0,1767.3716916546,465.8465627601587,none
hpccdgemm,16,1,1,0 days 00:02:30.700000,0 days 00:04:54.410954279,1180.5,18.429595763336753,0.0,0.0,1368.4176557971,297.6707820905873,cpumem
